month,month_name,days,mean_tdr,mean_smap,mean_bias,median_bias,mae,rmse,corr,tdr_std,smap_std,amplitude_ratio_smap_to_tdr,direction
1,Jan,149,0.6932952460236457,0.27797575986275336,-0.41531948616089226,-0.42865358763502703,0.41531948616089226,0.4190919339980466,0.12802934192017407,0.03054987376304682,0.05135646569701463,1.681069653359272,SMAP underestimates
2,Feb,118,0.6945453245609631,0.31697261388713527,-0.3775727106738279,-0.3837753397209862,0.3775727106738279,0.3802342539279986,0.6639019596638847,0.033016081094704386,0.05966298428358716,1.8070886157702346,SMAP underestimates
3,Mar,127,0.6953198346723632,0.3239769994567229,-0.3713428352156404,-0.37987517078938293,0.3713428352156404,0.37365503311601916,-0.012325617777569228,0.01998700078810334,0.036316392370198666,1.8170005972989656,SMAP underestimates
4,Apr,90,0.6972816997721412,0.33685885324246356,-0.36042284652967765,-0.37115202590863317,0.36042284652967765,0.361998130111757,-0.3945406367335248,0.01913844680471945,0.021458422323483602,1.1212206791092398,SMAP underestimates
5,May,93,0.6966221608126477,0.32824990633995305,-0.3683722544726948,-0.38243903003347046,0.3683722544726948,0.37033782666709486,-0.3996651987496669,0.015744373922756565,0.029196681233976802,1.8544199583431245,SMAP underestimates
6,Jun,90,0.6948270696419676,0.3114513417498933,-0.3833757278920743,-0.39320975950967385,0.3833757278920743,0.3851712351340952,-0.3787095924037149,0.01478338471005148,0.029161028687848315,1.9725542735839936,SMAP underestimates
7,Jul,93,0.6963456443511838,0.2889987325436005,-0.4073469118075834,-0.4187801206259415,0.4073469118075834,0.4087760024374392,0.12357230885370933,0.018880631365704392,0.03110735047288594,1.647579991916515,SMAP underestimates
8,Aug,88,0.6741656251316024,0.2501970742067152,-0.42396855092488706,-0.4181991251901243,0.42396855092488706,0.42563893494539623,0.4632939796114698,0.032868037952256776,0.03945675859257503,1.200459809918951,SMAP underestimates
9,Sep,131,0.6469792768370453,0.2202428237513731,-0.42673645308567215,-0.4284863193871734,0.42673645308567215,0.42808216303471985,0.6550357772985234,0.044235799652893926,0.0354560850280881,0.801524676987919,SMAP underestimates
10,Oct,155,0.6590898605154015,0.22512471587976549,-0.43396514463563607,-0.4309840096303006,0.43396514463563607,0.4360332644906623,0.3521636821420274,0.03394957320997401,0.0402632666717438,1.1859726902226535,SMAP underestimates
11,Nov,138,0.6391148882088457,0.23392461454900706,-0.40519027365983856,-0.4323010631954229,0.40519027365983856,0.4110662900012292,-0.0406409182118556,0.05284620830911726,0.043054467657775944,0.8147125221536092,SMAP underestimates
12,Dec,139,0.6565863780728206,0.23089628913205298,-0.4256900889407676,-0.4351939047652262,0.4256900889407676,0.43030304475555337,-0.05222441472331327,0.051710879567406234,0.03350094868984772,0.6478510706084302,SMAP underestimates
