Reference,depth,group,organic_matter_pct,pH_field,bulk_density_field_g_cm3,vwc_sat_field_cm3cm3,vwc_field_cap_field_cm3cm3,vwc_wilt_pt_field_cm3cm3,Lat,Lon,Elevation,Date,dNBR,bdod_sg_g_cm3,phh2o_sg,vwc_10kPa_sg_cm3cm3,vwc_fc_sg_cm3cm3,vwc_wp_sg_cm3cm3
YL1,0-10,Yanasacha_Low_Burn,49.5,5.92,0.305,0.82,0.578,0.269,-2.94405,-79.19796,3626,27/11/2025,0.31,1.03,5.4,0.4295,0.377,0.17
YL1,10-20,Yanasacha_Low_Burn,45.76,6.14,0.329,0.81,0.657,0.286,-2.94405,-79.19796,3626,27/11/2025,0.31,1.08,5.45,0.4175,0.374,0.1665
YL2,0-10,Yanasacha_Low_Burn,49.38,5.72,0.382,0.818,0.561,0.35,-2.94465,-79.20012,3743,27/11/2025,0.33,1.045,5.6,0.432,0.3825,0.1665
YL2,10-20,Yanasacha_Low_Burn,47.75,5.87,0.407,0.808,0.663,0.415,-2.94465,-79.20012,3743,27/11/2025,0.33,1.095,5.6,0.417,0.3765,0.1635
YL3,0-10,Yanasacha_Low_Burn,47.65,5.84,0.462,0.736,0.459,0.312,-2.94152,-79.19993,3667,27/11/2025,0.35,1.05,5.55,0.426,0.382,0.173
YL3,10-20,Yanasacha_Low_Burn,47.01,5.78,0.533,0.772,0.608,0.483,-2.94152,-79.19993,3667,27/11/2025,0.35,1.095,5.5,0.4145,0.3815,0.171
YL4,0-10,Yanasacha_Low_Burn,55.67,5.68,0.319,0.808,0.576,0.306,-2.94078,-79.2006,3619,27/11/2025,0.3,1.06,5.4,0.434,0.3815,0.174
YL4,10-20,Yanasacha_Low_Burn,53.55,5.77,0.361,0.828,0.677,0.385,-2.94078,-79.2006,3619,27/11/2025,0.3,1.105,5.45,0.4225,0.3795,0.172
YL5,0-10,Yanasacha_Low_Burn,50.74,5.74,0.337,0.809,0.528,0.336,-2.94133,-79.19762,3521,27/11/2025,0.33,0.99,5.35,0.424,0.3875,0.1755
YL5,10-20,Yanasacha_Low_Burn,46.39,5.75,0.365,0.812,0.622,0.379,-2.94133,-79.19762,3521,27/11/2025,0.33,1.03,5.4,0.4125,0.3855,0.172
LR1,0-10,Llaviuco_Reference,50.32,5.66,0.377,0.814,0.665,0.334,-2.80678,-79.15991,3560,25/11/2025,,1.03,5.3,0.433,0.327,0.172
LR1,10-20,Llaviuco_Reference,52.17,5.86,0.362,0.817,0.68,0.367,-2.80678,-79.15991,3560,25/11/2025,,1.075,5.3,0.413,0.3235,0.169
