system:index,date,site,soil_moisture,timestamp,.geo
20150331_0130,2015-03-31,Virgen,0.34167927503585815,2015-03-31 01:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_0430,2015-03-31,Virgen,0.3414742052555084,2015-03-31 04:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_0730,2015-03-31,Virgen,0.34177839756011963,2015-03-31 07:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_1030,2015-03-31,Virgen,0.341839462518692,2015-03-31 10:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_1330,2015-03-31,Virgen,0.34154263138771057,2015-03-31 13:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_1630,2015-03-31,Virgen,0.3408140242099762,2015-03-31 16:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_1930,2015-03-31,Virgen,0.3399697542190552,2015-03-31 19:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150331_2230,2015-03-31,Virgen,0.3395116329193115,2015-03-31 22:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_0130,2015-04-01,Virgen,0.33917713165283203,2015-04-01 01:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_0430,2015-04-01,Virgen,0.3389711380004883,2015-04-01 04:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_0730,2015-04-01,Virgen,0.33875879645347595,2015-04-01 07:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_1030,2015-04-01,Virgen,0.33860108256340027,2015-04-01 10:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_1330,2015-04-01,Virgen,0.3383077383041382,2015-04-01 13:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_1630,2015-04-01,Virgen,0.33775538206100464,2015-04-01 16:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_1930,2015-04-01,Virgen,0.3374170660972595,2015-04-01 19:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401_2230,2015-04-01,Virgen,0.3373417854309082,2015-04-01 22:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_0130,2015-04-02,Virgen,0.33715686202049255,2015-04-02 01:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_0430,2015-04-02,Virgen,0.33684486150741577,2015-04-02 04:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_0730,2015-04-02,Virgen,0.3367951214313507,2015-04-02 07:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_1030,2015-04-02,Virgen,0.33682650327682495,2015-04-02 10:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_1330,2015-04-02,Virgen,0.33664649724960327,2015-04-02 13:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_1630,2015-04-02,Virgen,0.3363586366176605,2015-04-02 16:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_1930,2015-04-02,Virgen,0.3373679220676422,2015-04-02 19:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150402_2230,2015-04-02,Virgen,0.3385348916053772,2015-04-02 22:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_0130,2015-04-03,Virgen,0.3383273184299469,2015-04-03 01:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_0430,2015-04-03,Virgen,0.3381124436855316,2015-04-03 04:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_0730,2015-04-03,Virgen,0.3378981053829193,2015-04-03 07:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_1030,2015-04-03,Virgen,0.3375511169433594,2015-04-03 10:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_1330,2015-04-03,Virgen,0.3371661305427551,2015-04-03 13:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_1630,2015-04-03,Virgen,0.33648917078971863,2015-04-03 16:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_1930,2015-04-03,Virgen,0.335889995098114,2015-04-03 19:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150403_2230,2015-04-03,Virgen,0.33570268750190735,2015-04-03 22:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150404_0130,2015-04-04,Virgen,0.3353898227214813,2015-04-04 01:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150404_0430,2015-04-04,Virgen,0.33516162633895874,2015-04-04 04:30:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
