C�digo muestra,Pomedio % MO,pH,"Densidad 
aparente g/cm3
","Contenido volum�trico
de agua 
pF 0   (Saturaci�n) cm3/cm3","Contenido volum�trico
de agua 
pF 2.52 (Capacidad de Campo) cm3/cm3","Contenido volum�trico
de agua 
pF 4.2 (Punto de marchitez) cm3/cm3",,,,,
YL1 0-10,49.50,5.92,0.305,0.820,0.578,0.269,
YL1 10-20,45.76,6.14,0.329,0.810,0.657,0.286,
YL2 0-10,49.38,5.72,0.382,0.818,0.561,0.350,
YL2 10-20,47.75,5.87,0.407,0.808,0.663,0.415,
YL3 0-10,47.65,5.84,0.462,0.736,0.459,0.312,
YL3 10-20,47.01,5.78,0.533,0.772,0.608,0.483,
YL4 0-10,55.67,5.68,0.319,0.808,0.576,0.306,
YL4 10-20,53.55,5.77,0.361,0.828,0.677,0.385,
YL5 0-10,50.74,5.74,0.337,0.809,0.528,0.336,
YL5 10-20,46.39,5.75,0.365,0.812,0.622,0.379,
LR1 0-10,50.32,5.66,0.377,0.814,0.665,0.334,
LR1 10-20,52.17,5.86,0.362,0.817,0.680,0.367,
LR2 0-10,53.68,5.36,0.265,0.855,0.654,0.343,
LR2 10-20,51.85,5.29,0.294,0.847,0.679,0.313,
LR3 0-10,28.85,6.27,0.489,0.788,0.611,0.301,,
LR3 10-20,27.52,6.64,0.550,0.765,0.637,0.341,
LR4 0-10,52.06,6.12,0.336,0.826,0.660,0.359,
LR4 10-20,51.21,6.09,0.333,0.830,0.680,0.372,
LB1 0-10,51.71,5.62,0.315,0.823,0.606,0.239,
LB1 10-20,58.06,5.72,0.300,0.839,0.674,0.300,
LB2 0-10,63.74,5.57,0.263,0.858,0.680,0.290,
LB2 10-20,58.17,5.5,0.278,0.855,0.704,0.308,
LB3 0-10,61.79,5.29,0.295,0.844,0.656,0.319,
LB3 10-20,66.12,5.25,0.327,0.832,0.678,0.422,
LB4 0-10,56.32,5.26,0.281,0.862,0.671,0.277,
LB4 10-20,53.84,5.36,0.306,0.850,0.687,0.343,
LB5 0-10,48.40,5.39,0.328,0.838,0.662,0.299,
LB5 10-20,47.41,5.56,0.345,0.833,0.694,0.317,
YH1 0-10,54.54,6.15,0.428,0.781,0.487,0.420,
YH1 10-20,58.31,6.27,0.482,0.779,0.630,0.453,
YH2 0-10,47.30,6.02,0.431,0.793,0.535,0.321,
YH2 10-20,42.11,5.96,0.454,0.767,0.595,0.413,
YH3 0-10,33.59,5.65,0.556,0.767,0.530,0.303,
YH3 10-20,31.01,5.68,0.534,0.767,0.620,0.298,
YH4 0-10,41.67,5.98,0.465,0.778,0.471,0.275,
YH4 10-20,39.10,5.88,0.506,0.772,0.571,0.358,
YH5 0-10,37.77,5.69,0.448,0.810,0.503,0.249,
YH5 10-20,35.61,5.97,0.515,0.767,0.624,0.319,
