Reference,Lat,Lon,Elevation,Date,dNBR
LB1,-2.80671,-79.16022,3585,25/11/2025,0.3
LB2,-2.8094,-79.16162,3769,25/11/2025,0.34
LB3,-2.81504,-79.15846,3742,25/11/2025,0.26
LB4,-2.81688,-79.15447,3669,25/11/2025,0.37
LB5,-2.81943,-79.15286,3638,25/11/2025,0.35
YH1,-2.94318,-79.2068,3665,26/11/2025,0.46
YH2,-2.94395,-79.20752,3639,26/11/2025,0.49
YH3,-2.94224,-79.20681,3615,26/11/2025,0.44
YH4,-2.94117,-79.20705,3556,26/11/2025,0.48
YH5,-2.94126,-79.20765,3526,26/11/2025,0.48
YL1,-2.94405,-79.19796,3626,27/11/2025,0.31
YL2,-2.94465,-79.20012,3743,27/11/2025,0.33
YL3,-2.94152,-79.19993,3667,27/11/2025,0.35
YL4,-2.94078,-79.2006,3619,27/11/2025,0.3
YL5,-2.94133,-79.19762,3521,27/11/2025,0.33
