Date,tdr_vwc_mean,tdr_vwc_std,tdr_samples,site,smap_soil_moisture_mean,smap_samples,has_tdr,has_smap,has_overlap,tdr_minus_smap
2015-03-31,0.6018298611111111,0.000949350033375153,288.0,Virgen,0.34107617288827896,8.0,True,True,True,0.2607536882228322
2015-04-01,0.6018472222222222,0.0003603993999006598,288.0,Virgen,0.3382912650704384,8.0,True,True,True,0.2635559571517838
2015-04-02,0.6010416666666667,0.00200825821180851,288.0,Virgen,0.3370664119720459,8.0,True,True,True,0.2639752546946208
2015-04-03,0.6058090277777777,0.0005229790296252937,288.0,Virgen,0.33714212104678154,8.0,True,True,True,0.26866690673099614
2015-04-04,0.6017152777777777,0.0015056835156832193,288.0,Virgen,0.33407829701900477,8.0,True,True,True,0.2676369807587729
2015-04-05,0.5969166666666667,0.00127424227672411,288.0,Virgen,0.33294977620244026,8.0,True,True,True,0.2639668904642264
2015-04-06,0.5943888888888889,0.0005915916181485593,288.0,Virgen,0.3332152552902698,8.0,True,True,True,0.26117363359861906
2015-04-07,0.5928611111111111,0.00034643251271950404,288.0,Virgen,0.32965780422091484,8.0,True,True,True,0.2632033068901962
2015-04-08,0.5917152777777778,0.0004520675606200788,288.0,Virgen,0.32685258984565735,8.0,True,True,True,0.2648626879321204
2015-04-09,0.5898402777777778,0.0006695278324233553,288.0,Virgen,0.3244441449642181,8.0,True,True,True,0.2653961328135597
2015-04-10,0.5874444444444444,0.0009316560339225652,288.0,Virgen,0.3217996135354042,8.0,True,True,True,0.26564483090904023
2015-04-11,0.5856701388888889,0.0004709808670831433,288.0,Virgen,0.31980762630701065,8.0,True,True,True,0.2658625125818782
2015-04-12,0.58665625,0.0006105025918324668,288.0,Virgen,0.3181369714438915,8.0,True,True,True,0.26851927855610846
2015-04-13,0.5893819444444444,0.0008263645901944201,288.0,Virgen,0.31755680218338966,8.0,True,True,True,0.2718251422610547
2015-04-14,0.5899340277777777,0.00024866562199102386,288.0,Virgen,0.318226721137762,8.0,True,True,True,0.2717073066400157
2015-04-15,0.590017361111111,0.0005243652025641594,288.0,Virgen,0.32288988679647446,8.0,True,True,True,0.26712747431463657
2015-04-16,0.5922604166666666,0.0013531081139156755,288.0,Virgen,0.3277098499238491,8.0,True,True,True,0.2645505667428175
2015-04-17,0.5965729166666667,0.0016595922739274331,288.0,Virgen,0.33295608311891556,8.0,True,True,True,0.2636168335477511
2015-04-18,0.6001458333333333,0.0011352370088233846,288.0,Virgen,0.34256867319345474,8.0,True,True,True,0.2575771601398785
2015-04-19,0.6031006944444444,0.000652200406106134,288.0,Virgen,0.34181448444724083,8.0,True,True,True,0.26128620999720353
2015-04-20,0.5993125,0.001550401768768133,288.0,Virgen,0.3467244356870651,8.0,True,True,True,0.2525880643129349
2015-04-21,0.5960763888888888,0.0020501716121290293,288.0,Virgen,0.3481735624372959,8.0,True,True,True,0.2479028264515929
2015-04-22,0.6028333333333333,0.0003733266964732778,288.0,Virgen,0.34467072784900665,8.0,True,True,True,0.2581626054843267
2015-04-23,0.6056736111111111,0.0026903618427178734,288.0,Virgen,0.3407510593533516,8.0,True,True,True,0.2649225517577595
2015-04-24,0.6103194444444444,0.0036514572104803136,288.0,Virgen,0.33760787174105644,8.0,True,True,True,0.27271157270338797
2015-04-25,0.6119965277777778,0.0009752986280417104,288.0,Virgen,0.3345301076769828,8.0,True,True,True,0.277466420100795
2015-04-26,0.6192881944444444,0.004200165859140519,288.0,Virgen,0.3317985385656356,8.0,True,True,True,0.28748965587880876
2015-04-27,0.6134861111111111,0.0021282441475015306,288.0,Virgen,0.33060277625918383,8.0,True,True,True,0.28288333485192724
2015-04-28,0.6061840277777777,0.001635032981135218,288.0,Virgen,0.3303084783256054,8.0,True,True,True,0.2758755494521723
2015-04-29,0.6022083333333333,0.0010043459570258455,288.0,Virgen,0.32929919660091395,8.0,True,True,True,0.2729091367324194
2015-04-30,0.6010243055555555,0.0001754025843288367,288.0,Virgen,0.32735420018434525,8.0,True,True,True,0.2736701053712103
2015-05-01,0.5991770833333333,0.0008634441002667163,288.0,Virgen,0.3269275948405266,8.0,True,True,True,0.2722494884928067
2015-05-02,0.5957569444444445,0.001164195990167877,288.0,Virgen,0.3244411051273346,8.0,True,True,True,0.2713158393171099
2015-05-03,0.5932291666666667,0.0020438358075839523,288.0,Virgen,0.32740424200892443,8.0,True,True,True,0.26582492465774227
2015-05-04,0.6083402777777778,0.0012419114998430032,288.0,Virgen,0.3382371850311756,8.0,True,True,True,0.27010309274660216
2015-05-05,0.6102743055555555,0.0015787458758321589,288.0,Virgen,0.33901433274149895,8.0,True,True,True,0.27125997281405656
2015-05-06,0.6039756944444444,0.0016109705139765189,288.0,Virgen,0.33811308071017265,8.0,True,True,True,0.2658626137342718
2015-05-07,0.5991875,0.0013587694268714478,288.0,Virgen,0.33425677940249443,8.0,True,True,True,0.26493072059750555
2015-05-08,0.595079861111111,0.0010545458167369728,288.0,Virgen,0.33098577708005905,8.0,True,True,True,0.26409408403105195
2015-05-09,0.5918819444444444,0.0007558969361538585,288.0,Virgen,0.32790032774209976,8.0,True,True,True,0.26398161670234466
2015-05-10,0.5893784722222222,0.0006295469522434523,288.0,Virgen,0.3250723741948604,8.0,True,True,True,0.26430609802736177
2015-05-11,0.587392361111111,0.0004891263435411739,288.0,Virgen,0.32249271497130394,8.0,True,True,True,0.2648996461398071
2015-05-12,0.5875104166666667,0.0009257612932746851,288.0,Virgen,0.3200535774230957,8.0,True,True,True,0.267456839243571
2015-05-13,0.5991840277777778,0.006092563161819531,288.0,Virgen,0.31791309267282486,8.0,True,True,True,0.28127093510495293
2015-05-14,0.6066388888888888,0.0004811587510467464,288.0,Virgen,0.31669608876109123,8.0,True,True,True,0.2899428001277976
2015-05-15,0.6046805555555556,0.0007976688839804253,288.0,Virgen,0.31744033470749855,8.0,True,True,True,0.287240220848057
2015-05-16,0.6014652777777777,0.0010782176184215282,288.0,Virgen,0.3208288662135601,8.0,True,True,True,0.2806364115642176
2015-05-17,0.6003020833333333,0.0005982516629854042,288.0,Virgen,0.31985972449183464,8.0,True,True,True,0.2804423588414987
2015-05-18,0.5991979166666667,0.0003991225131308521,288.0,Virgen,0.3180510699748993,8.0,True,True,True,0.28114684669176737
2015-05-19,0.5978368055555555,0.0007356758989266148,288.0,Virgen,0.31570834666490555,8.0,True,True,True,0.28212845889064997
2015-05-20,0.5950902777777778,0.0008984166827317686,288.0,Virgen,0.3135044574737549,8.0,True,True,True,0.2815858203040229
2015-05-21,0.5924444444444444,0.0005572177997383915,288.0,Virgen,0.31419094651937485,8.0,True,True,True,0.2782534979250696
2015-05-22,0.5915972222222222,0.0004913104774870257,288.0,Virgen,0.3143504597246647,8.0,True,True,True,0.27724676249755753
2015-05-23,0.5895277777777778,0.0008343199734161457,288.0,Virgen,0.3135340176522732,8.0,True,True,True,0.2759937601255046
2015-05-24,0.5878923611111111,0.00031046326205963774,288.0,Virgen,0.314302958548069,8.0,True,True,True,0.2735894025630421
2015-05-25,0.5865694444444444,0.0004960158727619126,288.0,Virgen,0.3137069419026375,8.0,True,True,True,0.2728625025418069
2015-05-26,0.586,0.0,288.0,Virgen,0.3136028945446014,8.0,True,True,True,0.2723971054553986
2015-05-27,0.586,0.0,288.0,Virgen,0.3123547993600368,8.0,True,True,True,0.27364520063996317
2015-05-28,0.5851527777777777,0.00036039939990062397,288.0,Virgen,0.31159867346286774,8.0,True,True,True,0.27355410431491
2015-05-29,0.585,0.0,288.0,Virgen,0.31178560480475426,8.0,True,True,True,0.2732143951952457
2015-05-30,0.5848819444444444,0.0003232355540216523,288.0,Virgen,0.3134179040789604,8.0,True,True,True,0.271464040365484
2015-05-31,0.5836076388888888,0.0004891263435409776,288.0,Virgen,0.314912635833025,8.0,True,True,True,0.2686950030558638
2015-06-01,0.5834583333333333,0.0004991281597550888,288.0,Virgen,0.3138652369379997,8.0,True,True,True,0.2695930963953336
2015-06-02,0.5840069444444445,8.318802662586908e-05,288.0,Virgen,0.31209186464548105,8.0,True,True,True,0.2719150797989634
2015-06-03,0.5849270833333333,0.0008624346665150754,288.0,Virgen,0.3099541999399662,8.0,True,True,True,0.2749728833933671
2015-06-04,0.5875277777777778,0.000842631058216563,288.0,Virgen,0.30846651270985603,8.0,True,True,True,0.2790612650679217
2015-06-05,0.5945555555555555,0.005856920951765458,288.0,Virgen,0.3085634261369705,8.0,True,True,True,0.285992129418585
2015-06-06,0.6063125,0.0008004245389222085,288.0,Virgen,0.30886685848236084,8.0,True,True,True,0.2974456415176392
2015-06-07,0.6086354166666667,0.002000625990884085,288.0,Virgen,0.307885006070137,8.0,True,True,True,0.3007504105965296
2015-06-08,0.6142916666666667,0.0025888396227524845,288.0,Virgen,0.30816689878702164,8.0,True,True,True,0.30612476787964504
2015-06-09,0.6101736111111111,0.0023709327502225886,288.0,Virgen,0.30757724493741984,8.0,True,True,True,0.3025963661736913
2015-06-10,0.6039375,0.001108841565204296,288.0,Virgen,0.30732070282101626,8.0,True,True,True,0.29661679717898376
2015-06-11,0.6001840277777777,0.0011794502466165341,288.0,Virgen,0.3077662028372288,8.0,True,True,True,0.2924178249405489
2015-06-12,0.5968611111111111,0.0007045013173008524,288.0,Virgen,0.3086887486279011,8.0,True,True,True,0.28817236248321
2015-06-13,0.5958541666666667,0.0007872569587907139,288.0,Virgen,0.3105011507868767,8.0,True,True,True,0.28535301587979
2015-06-14,0.5963159722222222,0.0007425507591320784,288.0,Virgen,0.3099186010658741,8.0,True,True,True,0.2863973711563481
2015-06-15,0.5932152777777778,0.0010470678784504856,288.0,Virgen,0.3097877576947212,8.0,True,True,True,0.2834275200830566
2015-06-16,0.5900763888888888,0.0007332792187828652,288.0,Virgen,0.317106019705534,8.0,True,True,True,0.2729703691833548
2015-06-17,0.5880798611111111,0.00027154990971281625,288.0,Virgen,0.3241960443556309,8.0,True,True,True,0.2638838167554802
2015-06-18,0.588,0.0,288.0,Virgen,0.3256617598235607,8.0,True,True,True,0.26233824017643925
2015-06-19,0.589,0.001874085142663237,288.0,Virgen,0.32195229828357697,8.0,True,True,True,0.267047701716423
2015-06-20,0.5949374999999999,0.0022607659582029307,288.0,Virgen,0.31818519532680506,8.0,True,True,True,0.27675230467319484
2015-06-21,0.6033993055555555,0.0013932138429664806,288.0,Virgen,0.3160570412874222,8.0,True,True,True,0.28734226426813336
2015-06-22,0.6040902777777778,0.0006181144131932093,288.0,Virgen,0.3153988309204578,8.0,True,True,True,0.28869144685732
2015-06-23,0.6015520833333333,0.0009281106468643299,288.0,Virgen,0.31261328607797617,8.0,True,True,True,0.28893879725535715
