month_number,monthly_bias_mean,sample_days,month_name,site
1,-0.3950487392503395,300,Jan,Chirimachaya
2,-0.3624299789463704,254,Feb,Chirimachaya
3,-0.3512167096977387,309,Mar,Chirimachaya
4,-0.3635517818358912,330,Apr,Chirimachaya
5,-0.3695789284814064,341,May,Chirimachaya
6,-0.37650887197325295,330,Jun,Chirimachaya
7,-0.39656367687875654,341,Jul,Chirimachaya
8,-0.40184105120587194,340,Aug,Chirimachaya
9,-0.39571025863583964,330,Sep,Chirimachaya
10,-0.4081183393514222,333,Oct,Chirimachaya
11,-0.3485824980106764,300,Nov,Chirimachaya
12,-0.3989451427668383,310,Dec,Chirimachaya
1,-0.3463275220378817,283,Jan,Virgen
2,-0.3027461575379476,271,Feb,Virgen
3,-0.27518440712992953,303,Mar,Virgen
4,-0.2786403971557565,330,Apr,Virgen
5,-0.28673916091508245,341,May,Virgen
6,-0.2965849433818836,330,Jun,Virgen
7,-0.31660572299321116,341,Jul,Virgen
8,-0.32637876393049087,341,Aug,Virgen
9,-0.3264648504439271,329,Sep,Virgen
10,-0.3404940298541623,320,Oct,Virgen
11,-0.35230887307370734,240,Nov,Virgen
12,-0.35702063399996276,276,Dec,Virgen
