site_group,depth_cm,field_metric,n,mean_value,std_value,min_value,max_value
Llaviuco_Reference,0-10,Bulk density (g/cm3),4,0.367,0.094,0.265,0.489
Llaviuco_Reference,0-10,Organic matter (%),4,46.228,11.666,28.85,53.68
Llaviuco_Reference,0-10,pH,4,5.852,0.419,5.36,6.27
Llaviuco_Reference,0-10,Vol. water content at field capacity (cm3/cm3),4,0.648,0.025,0.611,0.665
Llaviuco_Reference,0-10,Vol. water content at saturation (cm3/cm3),4,0.821,0.028,0.788,0.855
Llaviuco_Reference,0-10,Vol. water content at wilting point (cm3/cm3),4,0.334,0.024,0.301,0.359
Llaviuco_Reference,10-20,Bulk density (g/cm3),4,0.385,0.114,0.294,0.55
Llaviuco_Reference,10-20,Organic matter (%),4,45.688,12.118,27.52,52.17
Llaviuco_Reference,10-20,pH,4,5.97,0.559,5.29,6.64
Llaviuco_Reference,10-20,Vol. water content at field capacity (cm3/cm3),4,0.669,0.021,0.637,0.68
Llaviuco_Reference,10-20,Vol. water content at saturation (cm3/cm3),4,0.815,0.035,0.765,0.847
Llaviuco_Reference,10-20,Vol. water content at wilting point (cm3/cm3),4,0.348,0.027,0.313,0.372
Llaviuco_Burned,0-10,Bulk density (g/cm3),5,0.296,0.026,0.263,0.328
Llaviuco_Burned,0-10,Organic matter (%),5,56.392,6.499,48.4,63.74
Llaviuco_Burned,0-10,pH,5,5.426,0.163,5.26,5.62
Llaviuco_Burned,0-10,Vol. water content at field capacity (cm3/cm3),5,0.655,0.029,0.606,0.68
Llaviuco_Burned,0-10,Vol. water content at saturation (cm3/cm3),5,0.845,0.016,0.823,0.862
Llaviuco_Burned,0-10,Vol. water content at wilting point (cm3/cm3),5,0.285,0.03,0.239,0.319
Llaviuco_Burned,10-20,Bulk density (g/cm3),5,0.311,0.026,0.278,0.345
Llaviuco_Burned,10-20,Organic matter (%),5,56.72,6.842,47.41,66.12
Llaviuco_Burned,10-20,pH,5,5.478,0.181,5.25,5.72
Llaviuco_Burned,10-20,Vol. water content at field capacity (cm3/cm3),5,0.687,0.012,0.674,0.704
Llaviuco_Burned,10-20,Vol. water content at saturation (cm3/cm3),5,0.842,0.01,0.832,0.855
Llaviuco_Burned,10-20,Vol. water content at wilting point (cm3/cm3),5,0.338,0.05,0.3,0.422
Yanasacha_Reference,0-10,Bulk density (g/cm3),5,0.215,0.033,0.173,0.252
Yanasacha_Reference,0-10,Organic matter (%),5,59.736,8.63,50.99,71.37
Yanasacha_Reference,0-10,pH,5,5.448,0.348,5.1,6.02
Yanasacha_Reference,0-10,Vol. water content at field capacity (cm3/cm3),5,0.617,0.025,0.588,0.652
Yanasacha_Reference,0-10,Vol. water content at saturation (cm3/cm3),5,0.903,0.036,0.868,0.957
Yanasacha_Reference,0-10,Vol. water content at wilting point (cm3/cm3),5,0.276,0.059,0.181,0.319
Yanasacha_Reference,10-20,Bulk density (g/cm3),5,0.276,0.024,0.238,0.298
Yanasacha_Reference,10-20,Organic matter (%),5,54.354,11.86,34.47,64.68
Yanasacha_Reference,10-20,pH,5,5.502,0.126,5.28,5.59
Yanasacha_Reference,10-20,Vol. water content at field capacity (cm3/cm3),5,0.663,0.01,0.653,0.675
Yanasacha_Reference,10-20,Vol. water content at saturation (cm3/cm3),5,0.853,0.016,0.84,0.877
Yanasacha_Reference,10-20,Vol. water content at wilting point (cm3/cm3),5,0.299,0.042,0.245,0.342
Yanasacha_Low_Burn,0-10,Bulk density (g/cm3),5,0.361,0.063,0.305,0.462
Yanasacha_Low_Burn,0-10,Organic matter (%),5,50.588,3.047,47.65,55.67
Yanasacha_Low_Burn,0-10,pH,5,5.78,0.098,5.68,5.92
Yanasacha_Low_Burn,0-10,Vol. water content at field capacity (cm3/cm3),5,0.54,0.05,0.459,0.578
Yanasacha_Low_Burn,0-10,Vol. water content at saturation (cm3/cm3),5,0.798,0.035,0.736,0.82
Yanasacha_Low_Burn,0-10,Vol. water content at wilting point (cm3/cm3),5,0.315,0.031,0.269,0.35
Yanasacha_Low_Burn,10-20,Bulk density (g/cm3),5,0.399,0.08,0.329,0.533
Yanasacha_Low_Burn,10-20,Organic matter (%),5,48.092,3.139,45.76,53.55
Yanasacha_Low_Burn,10-20,pH,5,5.862,0.162,5.75,6.14
Yanasacha_Low_Burn,10-20,Vol. water content at field capacity (cm3/cm3),5,0.645,0.029,0.608,0.677
Yanasacha_Low_Burn,10-20,Vol. water content at saturation (cm3/cm3),5,0.806,0.021,0.772,0.828
Yanasacha_Low_Burn,10-20,Vol. water content at wilting point (cm3/cm3),5,0.39,0.071,0.286,0.483
Yanasacha_High_Burn,0-10,Bulk density (g/cm3),5,0.466,0.053,0.428,0.556
Yanasacha_High_Burn,0-10,Organic matter (%),5,42.974,8.206,33.59,54.54
Yanasacha_High_Burn,0-10,pH,5,5.898,0.218,5.65,6.15
Yanasacha_High_Burn,0-10,Vol. water content at field capacity (cm3/cm3),5,0.505,0.027,0.471,0.535
